book_id,title,mapped_id
926662,Growltiger's Last Stand and Other Poems,8335
346381,دریا پری، کاکل زری,15283
213181,God Hunger,8479
17729612,The More Loving One,21077
250810,Inherit the Wind,9056
8077005,Poetry is Not a Project,13707
6100815,Básně a blues,7754
24874449,Circles of Hell,19306
1828412,The Zephyrs of Najd: The Poetics of Nostalgia in The Classical Arabic Nasib,10565
17284121,আবুল হাসান রচনাসমগ্র,19485
25490630,Where the World Begins,22337
10427087,God Breaketh Not All Men's Hearts Alike: New & Later Collected Poems,25102
752936,A Shropshire Lad,3027
3658489,أسباب وجيهة للفرح,22242
18858148,Teaching My Mother How to Give Birth (mouthmark series Book 10),15660
17333426,"Egghead: Or, You Can't Survive on Ideas Alone",394
7517330,The Art of Recklessness: Poetry as Assertive Force and Contradiction,2174
9719801,The Songs of Maldoror,8019
18406193,Split,18868
17229678,Dear Boy,4202
820475,Not about Heroes,3752
820474,The Poems Of Wilfred Owen,16295
23497828,Collected Poems 1969-2014,21173
27409580,If Bees Are Few: A Hive of Bee Poems,21625
11390422,Huzursuzluğun Kitabı,23771
17437209,When Angels Are Born,10192
12429335,Water Sings Blue: Ocean Poems,2517
678825,Knee-deep in Blazing Snow: Growing Up in Vermont,11178
2442582,Penguin's Poems for Life,20942
11399139,Poetry After 9/11: An Anthology of New York Poets,5813
17324134,I Could Chew on This: And Other Poems by Dogs,10128
15770114,"Song of Solomon (Bible #22), ESV",20410
169070,The Broken String,12194
704915,The Poet in the World,16851
2701,The Canterbury Tales,7190
493359,Great American Prose Poems: From Poe to the Present,4635
6004176,مصر المصرية بتغنى,4777
1233859,The Door,3228
1504664,Poets in a Landscape,17146
28481692,Boobs: Women Explore What It Means to Have Breasts,23810
18624885,ضي,10481
743646,Darling Vulgarity,21752
13519197,You Exist. Details Follow.,17216
396581,Evening Train: Poetry,2579
3184065,Unscrambled Eggs,4567
2355014,Ozymandias,1235
8620591,The Physics of Imaginary Objects,186
75493,Complete Poems and Selected Letters,7695
75497,White Buildings: Poems,13724
75494,The Complete Poems,577
75495,The Bridge,1416
12309808,"At First, Lonely: Poems by Tanya Davis",12518
11295329,وطن بحجم عيوننا,3953
12675105,Balloon Pop Outlaw Black,8748
15189170,Desiderata,9361
152532,Auden: Poems,5941
152530,Collected Poems,17880
152535,The Dyer's Hand,7330
15573925,مختارات من لوركا,23250
8429303,Water Walker,11171
98390,أفكار مهددة بالقتل: من الشعراوي إلى سلمان رشدي,6966
694475,Theogony. Works and Days. Testimonia.,24817
393866,Don't Explain,4649
1278093,Silkie,27342
12027057,Aim For The Head: The Zombie Hunters Guide To Poetry,18764
251121,To a Fault,9994
836062,Things Left Unsaid: A Novel in Poems,4328
743972,Bilbo's Last Song: At the Grey Havens,4117
47180,Kaddish and Other Poems,1314
6580847,Ideas of Order,2871
21411190,The Emmores,8093
998064,Personæ: The Shorter Poems,19956
518246,Selected Poems,4639
13572380,Sermons and Lectures both blank and relentless,18739
34376890,Magic with Skin On,6645
936208,Serious Concerns,8090
936207,If I Don't Know,8087
25378291,some planet,19600
303508,Selected Poems,4034
567011,Eight American Poets: An Anthology,4632
1160501,The Ballad of the White Horse,3075
325698,"Execution Poems: The Black Acadian Tragedy of ""George and Rue""",18572
33950809,Here We Go: A Poetry Friday Power Book,13028
23492069,Fat Daisies,24265
11845422,رسائل فرناندو بيسوا إلى حبيبته,204
2213236,"Madwomen: The ""Locas mujeres"" Poems of Gabriela Mistral, a Bilingual Edition",16486
1222469,Movement in Black,2312
250048,Selected Writings,13122
29224035,Избрани стихотворения,17389
15635,The Poems of Doctor Zhivago,17524
24796277,Divinity School,21648
5269911,يوميات الحزن العادي,439
13259644,Chorus,9145
13586667,In This Thin Rain,10143
432164,Stories that Could Be True: New and Collected Poems,9518
1496385,Women Do This Every Day,13502
161430,"Collected Works, Vol. 3: Selected Poems",7425
25785774,What Are You Glad About? What Are You Mad About?: Poems for When a Person Needs a Poem,3607
752886,Selected Poems,20703
18901,The Book of Nightmares,2289
11872363,The Divine Comedy,4845
3295509,Amazing Peace,4583
8729193,The Collected Works of William Butler Yeats,5998
10154769,ديوان فايق عبد الجليل,8799
860818,Drift Of The Hunt,2267
743715,The Rattle Bag: An Anthology of Poetry,5943
659775,The Man Suit,8422
2764176,The Divine Comedy,4235
226946,"Journals: Early Fifties, Early Sixties",8648
522835,Burning in Paradise,6267
1555969,A Shropshire Lad,9926
6639509,Selected Poems,12532
13142341,Selected Poems of Pablo Neruda,10074
821682,Natural History,7599
705212,Unforgotten Dreams: Poems by the Zen Monk Shotetsu,9995
22521931,Otto the Owl Who Loved Poetry,10682
10218995,Hotel Insonnia,14053
12086014,When the Only Light Is Fire,1850
1426096,Why They Grow Wings,2150
14623094,Canzoniere,21522
6990114,Flowers of Evil,1463
15818015,Cat Talk,1353
5024306,Hesitant Commitments,15917
21792868,Letters To A Young Poet,14446
17934375,The Road to Emmaus: Poems,21676
57628,Migration: New and Selected Poems,2179
7920491,Crave Radiance: New and Selected Poems 1990-2010,18817
231506,"This Longing: Poetry, Teaching Stories, and Letters",3890
11255697,مهندس العالم,4826
6061538,Plumb,3706
118251,Mahabharata: The Greatest Spiritual Epic of All Time,15227
515187,Smoke,13604
515188,Facts About the Moon,8472
9264003,صمت الكليم,3841
22803099,Gilgamesh: The New Translation,17735
620722,Fold Me a Poem,1010
1300420,یک زن تنها: فروغ فرخزاد و شعرهایش,7179
25075649,The New Human Beings,11378
24551752,Something Like The Desert,19240
871377,Poetry for Young People: Robert Browning,8883
44540,"Poems Between Women: Four Centuries of Love, Romantic Friendship, and Desire",3963
2046895,Night Battle: Poems,7354
18144591,From the New World: Poems 1976-2012,7771
4376512,Say Nothing: Poems of Jalal al-Din Rumi in Persian and English,3871
35991559,More than Bread,20427
2113235,"Brenda Is in the Room, and Other Poems",11951
7713912,Wait,19073
22557366,"S O S: Poems, 1961-2013",1869
17903346,Артюр Рембо. Стихотворения,7956
27973402,Lemons in the Chicken Wire,19572
669757,The Book for My Brother,7490
6673292,الأجنحة المتكسرة,10021
949011,"Earth Prayers: From Around the World: 365 Prayers, Poems, and Invocations for Honoring the Earth",159
19134941,All the Things I Never Said,1113
24611612,All the Words Are Yours: Haiku on Love,390
560724,Singular Pleasures,16713
10365836,قالت,2419
1934248,Poems of Wang Wei,9588
134025,The Complete English Poems,892
19248,Wintering Out,13805
15787122,ورد أكثر,2414
9796853,A Dazzling Display of Dogs,8930
574266,The Buck in the Snow and Other Poems,22989
771393,Then Suddenly--,4684
562692,A Lifetime of Love: Poems on the Passages of Life,6604
16670129,Yes! We Are Latinos: Poems and Prose About the Latino Experience,989
13500593,أوراق العشب,9817
23281518,This Present Moment: New Poems,18806
538121,Isla Negra: A Notebook,13244
767928,The Norton Anthology of American Literature,10923
9164724,حصار لمدائح البحر,4799
691851,On Man and Nature,23337
16231961,دمعه و ابتسامه,10015
883273,Under the Clock: New Poems,17533
45287,Poetry and Prose,5425
1473236,Who Can Be Happy And Free In Russia,4012
1415440,Madonna Anno Domini: Poems,11966
26859679,"Love, Fishie",1964
1121132,The Charge of the Light Brigade,13186
17797845,Night Garden,10176
472703,Sonnets,12938
253566,"Pieces of Glass: A Moment of Tragedy, a Lifetime of Faith",8771
375181,Selected Poems,6138
375188,A Test of Poetry,16812
16057492,Magnolia and Lotus: Selected Poems of Hyesim,18831
17660097,The Year of No Mistakes: A Collection of Poetry,8428
17660095,The Importance of Being Ernest,2450
23080135,A Rock Can Be . . .,8974
23080133,Something Sure Smells Around Here: Limericks,8914
355148,The October Palace,7292
1450554,Midquest: A Poem,7367
2817558,Koerikoeloem,10306
1119451,Between Frames,9372
18261,The Nibelungenlied,1393
10674301,حجة غياب,748
24178192,Mother Goose's Pajama Party,3285
9748346,الأعمال الكاملة,9893
590169,Prose Poems,20093
16069511,ذات وحدة,10492
172854,Strong Words: Modern Poets on Modern Poetry,24873
18528280,The Infinitesimals,2157
18528282,The Committee on Town Happiness,16919
105224,Poems of Jerusalem & Love Poems,16431
682673,"Selected Prose, Daybooks, and Papers",6135
14760118,الأعمال الكاملة - رياض الصالح الحسين,14886
653047,Desiderata: A Poem for a Way of Life,1975
25983909,All the Words Are Yours,9323
410289,The Poets' Grimm: 20th Century Poems from Grimm Fairy Tales,20480
6254746,Vampire Haiku,1152
350097,Coleridge's Poetry and Prose,4919
19318323,Só,9104
267764,The Cremation of Sam McGee,2752
544867,Erec and Enide,6815
389058,The Owl and the Pussycat,15092
222383,A Kick in the Head: An Everyday Guide to Poetic Forms,842
28962764,Leaves of Grass,2384
22162514,Poems in the Attic,14359
6606572,سوختن در آب، غرق شدن در آتش,21205
1081692,Broken Wings,5643
403506,Poe: Poems,24079
79521,"Transbluesency: Selected Poems, 1961-1995",1870
1056805,Sir Gawain and the Green Knight: A New Verse Translation,4570
6413056,مقام عراق,9823
661715,"If You're Not Here, Please Raise Your Hand: Poems About School",1997
73905,Taliesin: The Last Celtic Shaman,17664
609155,Leaves of Grass and Other Writings,485
143466,Jabberwocky and Other Poems,281
1301508,The Lover of God,10576
304433,Women Poets of China,9530
67522,The Collected Poems of Emily Dickinson,283
1501154,Bhagavad Gita: A New Translation,8009
12823369,Edgar Allan Poe's Pie: Math Puzzlers in Classic Poems,999
16104640,The Monster's Game,10198
19211,Seamus Heaney,7383
387577,The Narrow Road to the Interior: Poems,632
1329652,Insectlopedia,4176
1088310,jrnls80s,8645
693275,مجموعه کامل اشعار,13268
1206077,Poetry Speaks Expanded,12048
63477,Pictures of the Gone World,1342
1726939,The Idylls,3396
6624274,Sopa de frijoles / Bean Soup,826
50512,Drinking with Bukowski: Recollections of the Poet Laureate of Skid Row,12032
29363291,My Private Property,753
24796932,Womanarchy,2612
144870,The Conference of the Birds,7576
868590,World's Tallest Disaster: Poems,7394
868591,Fragment of the Head of a Queen: Poems,520
11160738,The Spirit of a Poem,5536
743913,Poetry in the Making: An Anthology,11415
22411628,Hold Me Under: Poems to Drown to,5203
996521,The Song of Mu Lan,2729
63251,Ciento volando de catorce,20150
32468495,Pillow Thoughts,3435
1167398,A Widening Light: Poems of the Incarnation,11190
13260516,The Pet Project: Cute and Cuddly Vicious Verses,976
1614684,This is a Poem that Heals Fish,5159
7852603,ديوان محمد الثبيتي الأعمال الكاملة,8786
25352976,Why Dust Shall Never Settle Upon This Soul,14349
17979018,Yedi Güzel Adam,25425
26196220,The Black Maria,2996
129813,Fortune's Bones: The Manumission Requiem,17315
12352685,The Wild Book,13049
24753588,I Promised You I Wouldn't Write This,16458
15173168,معطف علق حياته عليك,3826
19236,Door Into the Dark: Poems,13806
10777164,خراب الدورة الدمويَّة,14889
295149,Selected Poems,3336
295148,Crossing the Water,3679
967610,Busy in the Garden,828
341717,Polkabats and Octopus Slacks: 14 Stories,1006
53417,Save Twilight: Selected Poems,9150
18445037,Wood,23325
418054,The Nature of Things,2154
12447727,Poem by Emily Brontë,15221
29939146,American Originality: Essays on Poetry,8323
1344192,William Shakespeare: The Complete Works,3415
7083492,The Canterbury Tales (Barnes & Noble Classics Series),16199
1575203,The Courtship of Miles Standish,19315
381209,Medea,4519
25240073,Green Like the Color,19160
118457,Poesia de Fernando Pessoa,23160
626676,XAIPE,662
626675,Poems of Akhmatova,4059
835547,The Metamorphoses,15475
104186,"A Chapbook for Burnt-Out Priests, Rabbis and Ministers",11132
3229707,Emily Dickinson Poems,19437
1074184,Wideawake Field: Poems,18220
1074186,A Field Guide to Contemporary Poetry and Poetics,7284
3390974,الأعمال الشعرية الكاملة,14797
9545722,القدسي و قصائد أخري,14884
3066810,The Bosnia Elegies,4659
17937655,Seam,4372
17619475,في عقيدة الحب كلنا يهود,241
405069,Shaking the Pumpkin: Traditional Poetry of the Indian North Americas,25160
13572905,Bartholomew Biddle and the Very Big Wind,998
21856418,Dead Horse,14334
7181336,The Homeric Hymns,12411
24874309,"Remember, Body...",22008
120726,Grapefruit: A Book of Instructions and Drawings,12233
16174875,I Wrote This Crap for You,17601
30635721,Apathy Will Kill Us All,3120
588900,Collected Poems of Emily Dickinson,18025
126980,Selected Writings,20305
178911,Annabel Lee,4241
18213292,Ana Patova Crosses a Bridge,3852
518672,Writings to an Unfinished Accompaniment,20635
20658,Blind Huber,8374
20657,Some Ether,1303
18304620,نهج البردة,16596
220682,The Pleasures of the Damned,575
237794,The Persians,5439
168499,A Season in Hell,5379
168496,A Season in Hell & Illuminations,1424
216123,Budget Travel through Space and Time: Poems,13154
17284027,Mac Flecknoe,3468
429679,Piers Plowman,3055
13376363,Teaching My Mother How to Give Birth,380
428527,Complete Poems,7600
211530,The Haiku Anthology:  Haiku And Senryu In English,16707
256029,Domestic Violence: Poems,11969
761271,Lyrics: 1962-2001,12283
919674,Hymns and Fragments,12915
7920056,هكذا أكتب تاريخ النساء,4262
10049570,أحبك أو لا أحبك,2412
24517,The Stuffed Owl: An Anthology of Bad Verse,15869
8789052,The Honey Month,11087
7278,"A Box of Rain: Lyrics, 1965-1993",25078
5559847,"Eleanor, Eleanor, Not Your Real Name",2212
17205297,Hibernaculum,10191
50472,The Flash of Lightning Behind the Mountain: New Poems,21141
50479,Twenty Prose Poems,15047
9218650,Torzo naděje,13994
8625002,Burn,20483
433478,شعرها ١٣٢٣ - ١٣٧٨ : دفتر یکم,949
19196,The Redress of Poetry,7647
784084,Field Work,7686
3875325,Blackberry Ink: Poems,15982
15779049,Árbol de Diana,2990
1497744,True Stories,6921
77201,The Odyssey,866
1089337,Words for the Wind: The Collected Verse,25458
657504,گزینه اشعار مهدی اخوان ثالث,13247
236183,Selected Poems,2045
24262961,Poverty Creek Journal,24200
236188,One Hundred Poems from the Chinese,17362
9560630,مدامع العشاق,713
18080012,An Enigma,9096
67397,Layla and Majnun,13279
7040652,سياف الزهور,249
53352,"Writing Kind of Day, A",20074
19420205,The collected poems of W. B. Yeats (The Greatest books of the twentieth century),11522
13578497,Collected Poems of Emily Dickinson,4195
22543936,Ten Windows: How Great Poems Transform the World,16886
22543937,The Beauty: Poems,2550
65336,Selected Poems,612
65335,Selected Poems,307
65338,Selected Poems,7164
10041732,Core Samples from the World,2160
6011611,Manatee/Humanity,4549
846491,The Prophet,20957
46231,The Portable Dorothy Parker,351
9028798,Good Poems: American Places,3350
11197510,ديوان سيد قطب,8868
11089150,PoetryTagTime,1019
11091103,The Early Poems of Alfred Lord Tennyson,12170
23453211,The Iliad,375
33538,"World War One British Poets: Brooke, Owen, Sassoon, Rosenberg and Others",8196
1278809,The Art And Craft Of Poetry,5600
6150334,أول الجسد آخر البحر,4764
8411147,Hamlet,20216
23473202,Jejuri,13647
1294271,The Dragons Are Singing Tonight,11642
716696,رباعيات خيام,1414
310884,The Norton Anthology of English Literature Vol. 2,3414
104831,آرش کمانگیر,16061
206644,Human Landscapes from My Country: An Epic Novel in Verse,2643
3348584,Blood Dazzler,4588
685203,Structure of the Embryonic Rat Brain,21101
980556,Old Negatives: Four Verse Sequences,9580
14823534,Poem-Mobiles: Crazy Car Poems,6840
1785217,Ramayana,1457
1785216,Mahabharata,1434
831071,The Aeneid,24345
881508,Pan Tadeusz,6393
16057120,Freak Show,11770
13607828,Skin Shift,6115
8441875,Winter Sport: Poems,24202
265681,The Pushcart Prize XXVIII: Best of the Small Presses,12005
318268,The Radiant,21748
3434158,Oneiromance,6239
99403,The Yellow Heart,6412
356062,Complete Poems,7465
12356365,مثنوي,14205
260683,Scattered Poems,434
235846,A Child's Calendar,4113
617495,The Epic of Gilgamesh,823
11085473,Under the Mambo Moon,1026
